code,inventory,state
 TX,94654,Texas
 CA,80468,California
 FL,73313,Florida
 GA,39623,Georgia
 IL,38680,Illinois
 NC,37530,North Carolina
 VA,35259,Virginia
 PA,28130,Pennsylvania
 NY,27932,New York
 NJ,27852,New Jersey
 OH,23311,Ohio
 WA,23149,Washington
 CO,23004,Colorado
 AZ,22464,Arizona
 TN,19166,Tennessee
 MA,17990,Massachusetts
 MD,17707,Maryland
 IN,16465,Indiana
 MO,16165,Missouri
 KY,13691,Kentucky
 AL,13293,Alabama
 WI,11255,Wisconsin
 MN,10996,Minnesota
 CT,10906,Conneticut
 UT,10418,Utah
 OR,10352,Oregon
 MI,10328,Mississippi
 SC,9790,South Carolina
 OK,9584,Oklahoma
 LA,8528,Los Angeles
 KS,7894,Kansas
 AR,6952,Arkansas
 NV,6887,Nevada
 MS,6242,Mississippi
 NH,5694,New Hampshire
 NE,4924,Nebraska
 IA,4840,Iowa
 NM,4729,New Mexico
 ID,3501,Indiana
 HI,2995,Hawaii
 DE,2418,Delaware
 MT,1984,Montana
 ME,1920,Maine
 RI,1858,Rhode Island
 AK,1663,Alaska
 WV,1501,West Virginia
 SD,1267,South Dakota
 VT,1123,Vermont
 ND,1092,North Dakota
 WY,610,Wyoming
 DC,25,Washington D.C.
